Date,Top of Mind,Spontaneous,Regularly,Most Often
2016-04-01,15,71,60,18
2016-05-01,20,68,61,24
2016-06-01,21,73,63,25
2016-07-01,16,73,67,21
2016-08-01,15,75,64,23
2016-09-01,10,61,60,19
2016-10-01,13,72,59,19
2016-11-01,14,71,59,18
2016-12-01,15,78,61,21
2017-01-01,15,79,56,20
2017-02-01,18,75,60,27
2017-03-01,16,73,54,20
2017-04-01,19,74,60,22
2017-05-01,16,77,57,17
2017-06-01,18,84,58,24
2017-07-01,14,81,51,22
2017-08-01,18,77,57,20
2017-09-01,18,85,56,18
2017-10-01,22,87,70,29
2017-11-01,22,94,69,30
2017-12-01,22,78,67,29
2018-01-01,26,81,67,33
2018-02-01,22,80,67,30
2018-03-01,19,77,61,28
2018-04-01,23,79,61,30
2018-05-01,24,76,67,32
2018-06-01,26,82,70,37
2018-07-01,19,78,64,31
2018-08-01,23,83,66,32
2018-09-01,22,81,65,29
2018-10-01,21,82,65,29
2018-11-01,29,82,68,32
2018-12-01,29,84,69,31
