Date,Top of Mind,Spontaneous,Regularly,Most Often
2016-04-01,15,77,53,8
2016-05-01,11,72,47,6
2016-06-01,12,78,41,9
2016-07-01,20,84,45,12
2016-08-01,18,81,44,11
2016-09-01,20,86,49,9
2016-10-01,20,91,53,15
2016-11-01,17,93,48,13
2016-12-01,17,83,43,10
2017-01-01,17,91,46,8
2017-02-01,17,95,53,9
2017-03-01,23,99,56,16
2017-04-01,23,96,57,16
2017-05-01,18,93,52,15
2017-06-01,17,89,51,11
2017-07-01,19,92,49,15
2017-08-01,19,95,56,18
2017-09-01,18,93,59,15
2017-10-01,18,90,57,10
2017-11-01,20,94,67,14
2017-12-01,20,93,56,10
2018-01-01,18,91,63,11
2018-02-01,23,97,64,10
2018-03-01,25,92,68,17
2018-04-01,17,96,64,14
2018-05-01,18,96,71,12
2018-06-01,15,93,57,13
2018-07-01,25,93,76,15
2018-08-01,26,90,81,18
2018-09-01,21,97,81,18
2018-10-01,23,95,74,17
2018-11-01,19,98,73,16
2018-12-01,20,97,73,17
