Date,Lion,Olio,Festo
2016-04-01,79617.2,42987.4,71890.7
2016-05-01,83746.0,46891.8,74323.2
2016-06-01,82665.7,44196.8,70930.4
2016-07-01,86489.5,49110.3,76640.8
2016-08-01,82588.5,52434.2,75285.5
2016-09-01,69793.4,44823.1,72217.0
2016-10-01,74818.8,44047.1,65014.9
2016-11-01,73334.1,44164.3,65602.5
2016-12-01,77947.4,46983.7,70651.2
2017-01-01,73290.3,48263.5,61945.1
2017-02-01,66002.1,43752.1,57112.0
2017-03-01,73181.9,49649.3,69749.0
2017-04-01,70229.4,49661.9,66171.4
2017-05-01,72400.7,53056.9,73342.9
2017-06-01,71424.4,54812.6,69143.1
2017-07-01,75318.2,60942.4,73898.0
2017-08-01,72273.7,73150.4,77609.3
2017-09-01,67333.3,47254.0,64858.1
2017-10-01,68700.5,48467.6,67075.1
2017-11-01,69424.1,50304.6,69857.9
2017-12-01,75653.8,60466.8,79147.5
2018-01-01,73974.4,58331.0,80723.8
2018-02-01,67785.4,51007.1,78079.2
2018-03-01,77548.3,61212.9,92145.0
2018-04-01,77369.5,58943.4,90729.4
2018-05-01,75918.2,63320.1,84149.0
2018-06-01,70878.4,57941.9,83624.7
2018-07-01,70781.4,78110.8,93559.6
2018-08-01,61601.2,81999.7,90837.5
2018-09-01,58114.9,48537.9,67106.5
2018-10-01,60715.6,51182.8,79140.9
2018-11-01,54983.7,48875.8,76842.7
2018-12-01,59349.5,52319.0,82675.5
